Name,Team,Age,Height,Home Country
Achiuwa Precious,New York Knicks,25,2m06,Nigeria
Adams Steven,Houston Rockets,31,2m15,New Zealand
Adebayo Bam,Miami Heat,27,2m09,United States
Agbaji Ochai,Toronto Raptors,24,1m96,United States
Akinjo James,Milwaukee Bucks,24,1m84,United States
Aldama Santiago,Memphis Grizzlies,24,2m11,Spain
Alexander Trey,Denver Nuggets,21,1m95,United States
Alexander-Walker Nickeil,Minnesota Timberwolves,26,1m97,Canada
Allen Jarrett,Cleveland Cavaliers,26,2m09,United States
Allen Grayson,Phoenix Suns,29,1m93,United States
Alvarado Jose,New Orleans Pelicans,26,1m83,"United States, Puerto Rico"
Anderson Kyle,Golden State Warriors,31,2m02,United States
Antetokounmpo Giannis,Milwaukee Bucks,30,2m11,Greece
Anthony Cole,Orlando Magic,24,1m91,United States
Anunoby Ogugua,New York Knicks,27,2m04,United States
Avdija Deni,Portland Trail Blazers,24,2m05,Israel
Ayton Deandre,Portland Trail Blazers,26,2m09,Bahamas
Bacot Armando,Memphis Grizzlies,24,2m08,United States
Bagley Marvin,Washington Wizards,25,2m11,United States
Bailey Amari,Brooklyn Nets,21,1m96,United States
Baldwin Jr. Patrick,Washington Wizards,22,2m08,United States
Ball LaMelo,Charlotte Hornets,23,2m00,United States
Ball Lonzo,Chicago Bulls,27,1m99,United States
Bamba Mohamed,Los Angeles Clippers,26,2m12,United States
Banchero Paolo,Orlando Magic,22,2m08,"United States, Italy"
Bane Desmond,Memphis Grizzlies,26,1m96,United States
Banton Dalano,Portland Trail Blazers,25,2m06,Canada
Barlow Dominick,Atlanta Hawks,21,2m05,United States
Barnes Scottie,Toronto Raptors,23,2m06,United States
Barnes Harrison,San Antonio Spurs,32,2m05,United States
Barrett R.J.,Toronto Raptors,24,2m02,Canada
Bassey Charles,San Antonio Spurs,24,2m11,Nigeria
Bates Emoni,Cleveland Cavaliers,21,2m06,United States
Bates-Diop Keita,Minnesota Timberwolves,29,2m03,United States
Battle Jamison,Toronto Raptors,23,2m00,United States
Batum Nicolas,Los Angeles Clippers,36,2m03,France
Baugh Damion,Charlotte Hornets,24,1m90,United States
Beal Bradley,Phoenix Suns,31,1m93,United States
Beasley Malik,Detroit Pistons,28,1m96,United States
Beauchamp MarJon,Milwaukee Bucks,24,1m98,United States
Bediako Charles,Denver Nuggets,22,2m11,Canada
Beekman Reece,Golden State Warriors,23,1m90,United States
Bernard Jules,Cleveland Cavaliers,25,1m97,
Bitadze Goga,Orlando Magic,25,2m12,Georgia
Bitim Onuralp,Chicago Bulls,25,1m96,Turkey
Biyombo Bismack,San Antonio Spurs,32,2m04,Democratic Republic of the Congo
Black Anthony,Orlando Magic,21,2m01,United States
Bogdanovic Bogdan,Atlanta Hawks,32,1m97,Serbia-Montenegro
Bol Bol,Phoenix Suns,25,2m18,United States
Bona Adem,Philadelphia 76ers,21,2m07,Turkey
Booker Devin,Phoenix Suns,28,1m98,United States
Boston B.J.,San Antonio Spurs,23,1m98,United States
Boucher Chris,Toronto Raptors,32,2m08,Canada
Branham Malaki,San Antonio Spurs,21,1m96,United States
Braun Christian,Denver Nuggets,23,1m98,United States
Bridges Miles,Charlotte Hornets,26,2m01,United States
Bridges Mikal,New York Knicks,28,2m01,United States
Bridges Jalen,Phoenix Suns,23,2m00,United States
Brogdon Malcolm,Washington Wizards,32,1m97,United States
Brooks Dillon,Houston Rockets,29,1m96,Canada
